review,sentiment
"I disliked this movie for numerous reasons. Within the first ten minutes of the film, I grew extremely disappointed and came to the conclusion that if this movie was going to salvage itself, for me at least, that it was going to have to pull itself out of the enormous hole it had dug. Unfortunately, that did not occur. The two draws of the movie for me were to see Jane Fonda and Felicity Huffman. I don't know enough about Lindsey Lohan's work to have been interested in what she would bring to the film. Afterward, I just felt disappointed in and for all three of them even though there were ""moments"" in each of their performances. I imagine that for each of them to find their ""moments"" was a very difficult task given the fact that there was an amazing lack of character development and uninspired dialog. Although the plot is an interesting one, the movie on the whole is so poorly written, directed and edited that anybody's performance as an actor would suffer and be tainted by it. The disrespectful way in which it dealt with sexual abuse and the trite and insulting viewpoint of small-town America, I think, were the two main reasons why this film failed in hitting it's mark. As one reviewer has noted and I would agree, the movie is almost impossible to market given it's finished form. I suspect that, or at least hope that (for the actor's sakes anyway) there are some real gems on the cutting room floor. Sad for us but if that's true then the actors can take solace in that and feel somewhat good about lending their talents and time to such a flop. Oh yeah and another thing...I wished for just once I could go see an American movie which included the sadly disappearing but wonderfully bucolic settings such as the one in this film where the main characters weren't absentmindedly and/or disrespectfully littering the country side with pop cans, smashed CDs and, other such trash!",negative
"This is a bit of a puzzle for a lot of the artsy Lynch crowd. They tend to try to write this off as some kind of meaningless, crude, side project of Lynch's. Like this is Lynch passing gas between his real pieces of film art. Well it may be a fart, but its one of those intriguing farts that you catch of a whiff of and are embarrassed to admit you enjoy.<br /><br />Dumbland distilled down beyond this is art. What can you do with aspects of modern life but laugh at it. If you took it seriously you would go nuts. You hook into it, smell it, taste it, feel its agonies, its unreasoning stupidities, and then express it in any medium you choose. Thats called art, and art isn't dumb. But it is Dumbland.",positive
"Dreadful, stupidly inane film dealing with corruption at the Louisiana Purchase Lumber Company.<br /><br />Everyone in the state of Louisiana seems to be corrupt and inept. A member of the college's English Department can only sign his name with an X.<br /><br />When it appears that a straight laced Senator (Victor Moore) is coming to the state to investigate, everyone there tries to blame the innocent but foolish Bob Hope character.<br /><br />Is it any wonder that Vera Zorina did not get the part of Maria in 1943's ""For Whom the Bell Tolls?""<br /><br />Naturally, the corrupt officials along with Hope try to show pictures of Zorina with Moore so as to ruin him politically. Moore marries the head of the restaurant who he had insulted when he asked for a ham sandwich. He thought the reason that she was upset was because it was a kosher restaurant. This is the extent of humor is this absolute mess of a film.<br /><br />When Hope tries to defend himself in Congress, he does a take-off of James Stewart in ""Mr. Smith Goes to Washington."" By then the film is too far gone for any good response.<br /><br />The music and lyrics are both absolutely terrible. That song praising Louisiana, sung in various ways, is absolutely terrible. Irving Berlin had something to do with the music of this utterly terrible film?",negative
"I saw this film at its New York's High Falls Film Festival screening as well and I must say that I found it a complete and awful bore. Although it was funny in some places, the only real laughs was that there appeared to be o real plot to talk about and the acting in some places was dreadful and wooden, especially the ""Lovely Lady"" and the voice of the narrator (whom I have never heard of) had a lot to be desired. J.C.Mac was, I felt, the redeeming feature of this film, true action and grit and (out of the cast) the only real acting. I am sure with another cast and a tighter reign on the directing, this could have been a half decent film. Let us just hope that it is not sent out on general release, or if you really want a copy, look in the bargain bin in Lidl.",negative
"Sherlock Holmes (Basil Rathbone) and Dr. Watson (Nigel Bruce) have been hired by the British government to protect a Swiss scientist Dr. Franz Tobel (William Post Jr.). He has a bomb that the British want to win the war. Unfortunately the evil Dr. Moriarty (Lionel Atwill) is working with the Nazis and will stop at nothing to get the doctor--and his invention.<br /><br />Moving Sherlock Holmes to the 1940s sounded like a stupid idea but it does work for one reason--Basil Rathbone. Arguably he is the BEST Sherlock Holmes ever put on the screen. He plays the character so well (and accurately) that it doesn't matter what era he's solving crimes. As for Nigel Bruce as Watson...everybody has problems with it. He plays Watson as a bumbling old fool...that is NOT the Watson of the books. You seriously wonder why Holmes puts up with him. Still, he does grow on you (in a way). Then there's Atwill having a whale of a time playing Moriarty--the discussions and battle of wits between him and Holmes are just great! I've never liked Dennis Hoey as Inspector Lestrade--he's such an idiot. Makes Watson look like a genius. And Post Jr. is pretty good as Tobel (even though his accent amusingly keeps changing!).<br /><br />This movie is done elaborately and runs only a little over an hour. Still, it does have it's slow spots and I never understood the secret code section.<br /><br />Still, worth catching if just for Rathbone and Atwill.",positive
"**SPOILERS**This was an ugly movie, and I'm sorry that I watched it. Like Jan Kounen's Dobermann, it suffers mostly from poor editing--or lack of it. It is as if the director was so in love with his work that instead of cutting the movie down to a pace that kept your attention, he added all of the footage he had shot together. There are maybe two cool scenes in the entire movie. One of them is *SPOILER* when Benkei is petrified and the camera starts spinning around him. That was cool--but okay, we got it! Move on please! The camera won't stop spinning around this guy! There's maybe one or two more cool scenes that I forgot about in this flood of mediocrity, but the last duel scene IS NOT ONE OF THEM! It may be because unlike in the earlier sword-handling scenes, Shanao isn't masked--but just because the director couldn't find a stuntman who somewhat resembled Asano Tadanobu doesn't give him the right to go ahead and make up 80% of the sword fight with extreme close-ups of sword clashes! And all from the same angle, may I add. The director should learn from the American produced 1995 bullet-train ninja movie The Hunted! I personally saw the village raid scene as a tribute paid to the social activists of the previous generation who were confronted by the police in the violent demonstrations of their college years. The situation where innocence is oppressed by an authoritative and armed branch of the government unwilling to understand seems to be a message common in the Japanese media, due to the strong influence of socialists and communists who are a political minority. The movie versions of GTO and Salary Man Kintaro are two other recent examples *END SPOILER* I don't understand. I just don't understand why people who don't speak the language of the movie find praise worthy material in this. Maybe the worst was lost in the translation.<br /><br />The ending of the movie--on which marketing played a lot, is a different interpretation of the legendary encounter between Shanao and Benkei. But that legend is not the most popular in Japanese folklore, and it is so detached from contemporary themes, that after 138 minutes of over played visual techniques, who cares how the director wants to re-interpret the story!? Director Sasaki Hirohisa of Crazy Lips said that there was an unpleasant trend among new Japanese directors to ignore Japanese audiences, and target their movies for foreign film festivals--in order to gain faster international fame. This works, although it doesn't make sense, because the point of an international movie fest is to introduce to the world what kind of movies are being made in other countries-what kind of movies people WATCH in those countries. Certainly not Gojoe and the like.",negative
"I think the context of the story has been covered by other posters so I would just like to write about the impact this film had on me.<br /><br />I first saw this film the year of it's release around 1987. My school organised a trip to the cinema to see it, for an RE project I think. We all went along of course excited because we were on a school trip to the cinema! Little did we know what we were about to experience. To this day I still remember the feelings it invoked in me and i remembered crying a lot as were most of my friends. I think at the age we were we found it shocking and quiet rightly outraged in our own youthful way .It had such an impact on me that I joined the Anti Apartheid Movement the same year.<br /><br />I think it served it's purpose in my case.",positive
"This has to be one of the most beautifully morbid films I have ever seen. Merhige has created a living painting that unfolds with horrific violence, sex, and a minimalist retelling of the life of Jesus Christ. The high contrast and thick layer of grain make you question yourself as to what you are really seeing at times, but the use of texture, combined with the extreme contrast, create an incredible viewing experience. This film is not for everyone. I think you have to keep an open mind and not be so quick to condemn this film for its content, which if extremely rough, but does make a fairly important statement about creation, god and humanity. Whether this film is a work of art, or shock value trash is open to discussion.",positive
"This is one of the most satisfying of the book to TV adaptations. The actress who make us believe that a Borg could be sexy makes us believe that a spy and traitor can have some redeeming qualities.<br /><br />The TV plot line does not follow Cornwell's story exactly but is both exciting and rewarding as a retelling of a darn good yarn. If you have a yen for romance in uniform there is a lot of sexual energy sparking between our man Sharpe and the lying hussy. Made me wish her role was closer to that in the books. But no matter there is enough hero wronged, hero redeemed, hero in rage, hero in flight and hero in battle to keep you clued to your DVD play.",positive
"This isn't the video nasty Night of the Demon as there are more than one. Actually, there is only one, but it multiplies.<br /><br />After it inhabits Suzanne (Scream Queen Linnea Quigley), she passes it on to goth girl Angela (Amelia Kinkade) through a nice long kiss.<br /><br />Next, we see Linnea showing us her quigleys in the bathroom. She shows a lot more as Jay (Lance Fenton) thinks he is in for some fun.<br /><br />Soon, everything literally goes to hell as bodies drop one by one and are possessed. Judy (Cathy Podewell) and Max (Philip Tanzini) are the last two trying to escape. Max isn't much help, leaving it to Judy to figure a way out.<br /><br />The makeup was absolutely fantastic, and the only thing that kept this from being even better was the extremely long build up to the action.<br /><br />The old man (Harold Ayer) who appears in the beginning will be back and get his just desserts.<br /><br />Linnea Quigley may be the Scream Queen, but Cathy Podewell definitely showed the greatest lungs in this film.",positive
"A twist of fate puts a black man at the head of an old-school, white-bred advertising firm. And he intends to make a few changes...<br /><br />One very strange piece of cinema. You'll either love it or hate it. Either way, you've never seen anything like it.",positive
"This film had no huge stars in it, but did have a very good cast filled with excellent supporting actors AND Gene Tierney before she became a big star. With George Sanders, Reginald Gardner, Harry Carey, Bruce Cabot, Jospeh Calleia and Cederic Hardwicke, you'd expect more from the film than it actually delivered. Most of this, I suspect, is because of a second-rate script, as director Henry Hathaway was a competent and well-established man at the helm.<br /><br />The film is set in East Africa during WWII--just before the Americans entered the war. The Brits are trying to control their African colonies while subversive Nazi elements are trying to stir up trouble among the locals. One of the white men in the film is a double-dealer--working for the destruction of the British Empire! But, lovely Tierney, playing a sultan's daughter(!), is out to help save the day for good ol' Britain.<br /><br />American film makers have long sided with the Empire and the 1930s and 40s saw a plethora of pro-empire films. Nowadays, with changed sensibilities, the notion of seeing the happy black natives dying for Queen and country seems ridiculous--and it would be hard to root for either side! Still, in its day, this propaganda piece was effective in drumming up support for the British--though when seen today, the film suffers from a long-winded script and silly casting. The one bright moment in the film is the final showdown between George Sanders and the enemy agent. Too bad after such a potent scene the film just seemed to talk and talk--losing some of its punch.",negative
"I've read a few books about Bonnie and Clyde, and this is definitely MORE accurate than the Beatty/Dunaway version, in that its costumes and locales echo actual photographs taken of the gang. Particularly well done is the death of Buck Barrow, and the capture of his wife Blanche. This actress looks looks exactly like the photographs taken that day of Blanche grieving over her dying husband. However, this movie is still Hollywood, and our anti-heroes stay pretty to the end, even after being shot full of holes (in life, Bonnie was badly burned in an auto accident the year before their famous ambush, and did not look like a perky cheerleader at the time of her death). The script is tedious, and the acting is poor, particularly the leads. Very disappointing. Stick with Beatty and Dunaway. Their's may not be ""the true story,"" but it's a great film.",negative
